County Name,State Name,State Code,County Code,FIPS Code
Autauga,AL,1,1,1001
Baldwin,AL,1,3,1003
Barbour,AL,1,5,1005
Bibb,AL,1,7,1007
Blount,AL,1,9,1009
Bullock,AL,1,11,1011
Butler,AL,1,13,1013
Calhoun,AL,1,15,1015
Chambers,AL,1,17,1017
Cherokee,AL,1,19,1019
Chilton,AL,1,21,1021
Choctaw,AL,1,23,1023
Clarke,AL,1,25,1025
Clay,AL,1,27,1027
Cleburne,AL,1,29,1029
Coffee,AL,1,31,1031
Colbert,AL,1,33,1033
Conecuh,AL,1,35,1035
Coosa,AL,1,37,1037
Covington,AL,1,39,1039
Crenshaw,AL,1,41,1041
Cullman,AL,1,43,1043
Dale,AL,1,45,1045
Dallas,AL,1,47,1047
De Kalb,AL,1,49,1049
Elmore,AL,1,51,1051
Escambia,AL,1,53,1053
Etowah,AL,1,55,1055
Fayette,AL,1,57,1057
Franklin,AL,1,59,1059
Geneva,AL,1,61,1061
Greene,AL,1,63,1063
Hale,AL,1,65,1065
Henry,AL,1,67,1067
Houston,AL,1,69,1069
Jackson,AL,1,71,1071
Jefferson,AL,1,73,1073
Lamar,AL,1,75,1075
Lauderdale,AL,1,77,1077
Lawrence,AL,1,79,1079
Lee,AL,1,81,1081
Limestone,AL,1,83,1083
Lowndes,AL,1,85,1085
Macon,AL,1,87,1087
Madison,AL,1,89,1089
Marengo,AL,1,91,1091
Marion,AL,1,93,1093
Marshall,AL,1,95,1095
Mobile,AL,1,97,1097
Monroe,AL,1,99,1099
Montgomery,AL,1,101,1101
Morgan,AL,1,103,1103
Perry,AL,1,105,1105
Pickens,AL,1,107,1107
Pike,AL,1,109,1109
Randolph,AL,1,111,1111
Russell,AL,1,113,1113
St Clair,AL,1,115,1115
Shelby,AL,1,117,1117
Sumter,AL,1,119,1119
Talladega,AL,1,121,1121
Tallapoosa,AL,1,123,1123
Tuscaloosa,AL,1,125,1125
Walker,AL,1,127,1127
Washington,AL,1,129,1129
Wilcox,AL,1,131,1131
Winston,AL,1,133,1133
Aleutians East,AK,2,13,2013
Aleutians West,AK,2,16,2016
Anchorage,AK,2,20,2020
Bethel,AK,2,50,2050
Bristol Bay,AK,2,60,2060
Denali,AK,2,68,2068
Dillingham,AK,2,70,2070
Fairbanks North Star,AK,2,90,2090
Haines,AK,2,100,2100
Juneau,AK,2,110,2110
Kenai Peninsula,AK,2,122,2122
Ketchikan Gateway,AK,2,130,2130
Kodiak Island,AK,2,150,2150
