PUMA,Neighborhood,Borough
3701,"Riverdale, Fieldston & Kingsbridge",Bronx
3701,"Riverdale, Fieldston & Kingsbridge",Bronx
3702,"Wakefield, Williamsbridge & Woodlawn",Bronx
3702,"Wakefield, Williamsbridge & Woodlawn",Bronx
3703,"Co-op City, Pelham Bay & Schuylerville",Bronx
3703,"Co-op City, Pelham Bay & Schuylerville",Bronx
3703,"Co-op City, Pelham Bay & Schuylerville",Bronx
3704,"Pelham Parkway, Morris Park & Laconia",Bronx
3704,"Pelham Parkway, Morris Park & Laconia",Bronx
3704,"Pelham Parkway, Morris Park & Laconia",Bronx
3704,"Pelham Parkway, Morris Park & Laconia",Bronx
3705,"Belmont, Crotona Park East & East Tremont",Bronx
3705,"Belmont, Crotona Park East & East Tremont",Bronx
3706,"Bedford Park, Fordham North & Norwood",Bronx
3706,"Bedford Park, Fordham North & Norwood",Bronx
3706,"Bedford Park, Fordham North & Norwood",Bronx
3707,"Morris Heights, Fordham South & Mount Hope",Bronx
3708,"Concourse, Highbridge & Mount Eden",Bronx
3708,"Concourse, Highbridge & Mount Eden",Bronx
3708,"Concourse, Highbridge & Mount Eden",Bronx
3709,"Castle Hill, Clason Point & Parkchester",Bronx
3709,"Castle Hill, Clason Point & Parkchester",Bronx
3710,"Hunts Point, Longwood & Melrose",Bronx
3710,"Hunts Point, Longwood & Melrose",Bronx
3710,"Hunts Point, Longwood & Melrose",Bronx
3710,"Hunts Point, Longwood & Melrose",Bronx
3801,"Washington Heights, Inwood & Marble Hill",Manhattan
3801,"Washington Heights, Inwood & Marble Hill",Manhattan
3801,"Washington Heights, Inwood & Marble Hill",Manhattan
3801,"Washington Heights, Inwood & Marble Hill",Manhattan
3802,"Hamilton Heights, Manhattanville & West Harlem",Manhattan
3802,"Hamilton Heights, Manhattanville & West Harlem",Manhattan
3802,"Hamilton Heights, Manhattanville & West Harlem",Manhattan
3803,Central Harlem,Manhattan
3803,Central Harlem,Manhattan
3803,Central Harlem,Manhattan
3803,Central Harlem,Manhattan
3804,East Harlem,Manhattan
3804,East Harlem,Manhattan
3805,Upper East Side,Manhattan
3805,Upper East Side,Manhattan
3805,Upper East Side,Manhattan
3805,Upper East Side,Manhattan
3805,Upper East Side,Manhattan
3805,Upper East Side,Manhattan
3805,Upper East Side,Manhattan
3805,Upper East Side,Manhattan
3806,Upper West Side & West Side,Manhattan
3806,Upper West Side & West Side,Manhattan
3806,Upper West Side & West Side,Manhattan
3806,Upper West Side & West Side,Manhattan
3806,Upper West Side & West Side,Manhattan
3806,Upper West Side & West Side,Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3807,"Chelsea, Clinton & Midtown Business District",Manhattan
3808,"Murray Hill, Gramercy & Stuyvesant Town",Manhattan
3808,"Murray Hill, Gramercy & Stuyvesant Town",Manhattan
3808,"Murray Hill, Gramercy & Stuyvesant Town",Manhattan
3808,"Murray Hill, Gramercy & Stuyvesant Town",Manhattan
3808,"Murray Hill, Gramercy & Stuyvesant Town",Manhattan
3808,"Murray Hill, Gramercy & Stuyvesant Town",Manhattan
3808,"Murray Hill, Gramercy & Stuyvesant Town",Manhattan
3808,"Murray Hill, Gramercy & Stuyvesant Town",Manhattan
3808,"Murray Hill, Gramercy & Stuyvesant Town",Manhattan
3808,"Murray Hill, Gramercy & Stuyvesant Town",Manhattan
3808,"Murray Hill, Gramercy & Stuyvesant Town",Manhattan
