zip3,usps_name,geo_name
5,Mid-Island,Mid-Island
63,Southern CT,Mid-Island
100,New York,New York
101,New York,New York
102,New York,New York
103,Staten Island,Staten Island
104,Bronx,Bronx
105,Westchester,Westchester
106,White Plains,White Plains
107,Yonkers,Yonkers
108,New Rochelle,New Rochelle
109,Westchester,Westchester
110,Queens,Queens
111,Long Island City,Queens
112,Brooklyn,Brooklyn
113,Flushing,Queens
114,Jamaica,Queens
115,Western Nassau,Western Nassau
116,Far Rockaway,Queens
117,Mid-Island,Mid-Island
118,Hicksville,Hicksville
119,Mid-Island,Mid-Island
120,Albany,Albany
121,Albany,Albany
122,Albany,Albany
123,Schenectady,Schenectady
124,Mid-Hudson,Mid-Hudson
125,Mid-Hudson,Mid-Hudson
126,Poughkeepsie,Poughkeepsie
127,Mid-Hudson,Mid-Hudson
128,Glens Falls,Glens Falls
129,Plattsburgh,Plattsburgh
130,Syracuse,Syracuse
131,Syracuse,Syracuse
132,Syracuse,Syracuse
133,Utica,Utica
134,Utica,Utica
135,Utica,Utica
136,Watertown,Watertown
137,Binghamton,Binghamton
138,Binghamton,Binghamton
139,Binghamton,Binghamton
140,Buffalo,Buffalo
141,Buffalo,Buffalo
142,Buffalo,Buffalo
143,Niagara Falls,Niagara Falls
144,Rochester,Rochester
145,Rochester,Rochester
146,Rochester,Rochester
147,Jamestown,Jamestown
148,Elmira,Elmira
149,Elmira,Elmira
