zip5,zip3,city,county,type
501,5,Holtsville,Suffolk,Unique
544,5,Holtsville,Suffolk,Unique
6390,63,Fishers Island,Suffolk,P.O. Box
10001,100,New York,New York,Standard
10002,100,New York,New York,Standard
10003,100,New York,New York,Standard
10004,100,New York,New York,Standard
10005,100,New York,New York,Standard
10006,100,New York,New York,Standard
10007,100,New York,New York,Standard
10008,100,New York,New York,P.O. Box
10009,100,New York,New York,Standard
10010,100,New York,New York,Standard
10011,100,New York,New York,Standard
10012,100,New York,New York,Standard
10013,100,New York,New York,Standard
10014,100,New York,New York,Standard
10016,100,New York,New York,Standard
10017,100,New York,New York,Standard
10018,100,New York,New York,Standard
10019,100,New York,New York,Standard
10020,100,New York,New York,Standard
10021,100,New York,New York,Standard
10022,100,New York,New York,Standard
10023,100,New York,New York,Standard
10024,100,New York,New York,Standard
10025,100,New York,New York,Standard
10026,100,New York,New York,Standard
10027,100,New York,New York,Standard
10028,100,New York,New York,Standard
10029,100,New York,New York,Standard
10030,100,New York,New York,Standard
10031,100,New York,New York,Standard
10032,100,New York,New York,Standard
10033,100,New York,New York,Standard
10034,100,New York,New York,Standard
10035,100,New York,New York,Standard
10036,100,New York,New York,Standard
10037,100,New York,New York,Standard
10038,100,New York,New York,Standard
10039,100,New York,New York,Standard
10040,100,New York,New York,Standard
10041,100,New York,New York,Standard
10043,100,New York,New York,Unique
10044,100,New York,New York,Standard
10045,100,New York,New York,Standard
10055,100,New York,New York,Standard
10060,100,New York,New York,Standard
10065,100,New York,New York,Standard
10069,100,New York,New York,Standard
10075,100,New York,New York,Standard
10080,100,New York,New York,Unique
10081,100,New York,New York,Unique
10087,100,New York,New York,Unique
10090,100,New York,New York,Standard
10101,101,New York,New York,P.O. Box
10102,101,New York,New York,Unique
10103,101,New York,New York,Standard
10104,101,New York,New York,Standard
10105,101,New York,New York,Standard
10106,101,New York,New York,Standard
10107,101,New York,New York,Standard
10108,101,New York,New York,P.O. Box
10109,101,New York,New York,Unique
10110,101,New York,New York,Standard
10111,101,New York,New York,Standard
10112,101,New York,New York,Standard
10113,101,New York,New York,P.O. Box
10114,101,New York,New York,Unique
10115,101,New York,New York,Standard
10116,101,New York,New York,P.O. Box
10117,101,New York,New York,Unique
10118,101,New York,New York,Standard
10119,101,New York,New York,Standard
10120,101,New York,New York,Standard
10121,101,New York,New York,Standard
10122,101,New York,New York,Standard
10123,101,New York,New York,Standard
10124,101,New York,New York,Unique
10125,101,New York,New York,Unique
10126,101,New York,New York,Unique
10128,101,New York,New York,Standard
10129,101,New York,New York,P.O. Box
10130,101,New York,New York,Unique
10131,101,New York,New York,Unique
10132,101,New York,New York,Unique
10133,101,New York,New York,Unique
10138,101,New York,New York,Unique
10150,101,New York,New York,P.O. Box
10151,101,New York,New York,Standard
10152,101,New York,New York,Standard
10153,101,New York,New York,Standard
10154,101,New York,New York,Standard
10155,101,New York,New York,Standard
10156,101,New York,New York,P.O. Box
10157,101,New York,New York,Unique
10158,101,New York,New York,Standard
10159,101,New York,New York,P.O. Box
10160,101,New York,New York,Unique
10162,101,New York,New York,Standard
