PUMA,Zip,Neighborhood,Borough
3701,10463,"Riverdale, Fieldston & Kingsbridge",Bronx
3701,10471,"Riverdale, Fieldston & Kingsbridge",Bronx
3702,10466,"Wakefield, Williamsbridge & Woodlawn",Bronx
3702,10470,"Wakefield, Williamsbridge & Woodlawn",Bronx
3703,10464,"Co-op City, Pelham Bay & Schuylerville",Bronx
3703,10465,"Co-op City, Pelham Bay & Schuylerville",Bronx
3703,10475,"Co-op City, Pelham Bay & Schuylerville",Bronx
3704,10461,"Pelham Parkway, Morris Park & Laconia",Bronx
3704,10462,"Pelham Parkway, Morris Park & Laconia",Bronx
3704,10469,"Pelham Parkway, Morris Park & Laconia",Bronx
3704,10499,"Pelham Parkway, Morris Park & Laconia",Bronx
3705,10457,"Belmont, Crotona Park East & East Tremont",Bronx
3705,10460,"Belmont, Crotona Park East & East Tremont",Bronx
3706,10458,"Bedford Park, Fordham North & Norwood",Bronx
3706,10467,"Bedford Park, Fordham North & Norwood",Bronx
3706,10468,"Bedford Park, Fordham North & Norwood",Bronx
3707,10453,"Morris Heights, Fordham South & Mount Hope",Bronx
3708,10451,"Concourse, Highbridge & Mount Eden",Bronx
3708,10452,"Concourse, Highbridge & Mount Eden",Bronx
3708,10456,"Concourse, Highbridge & Mount Eden",Bronx
3709,10472,"Castle Hill, Clason Point & Parkchester",Bronx
3709,10473,"Castle Hill, Clason Point & Parkchester",Bronx
3710,10454,"Hunts Point, Longwood & Melrose",Bronx
3710,10455,"Hunts Point, Longwood & Melrose",Bronx
3710,10459,"Hunts Point, Longwood & Melrose",Bronx
3710,10474,"Hunts Point, Longwood & Melrose",Bronx
3801,10032,"Washington Heights, Inwood & Marble Hill",Manhattan
3801,10033,"Washington Heights, Inwood & Marble Hill",Manhattan
3801,10034,"Washington Heights, Inwood & Marble Hill",Manhattan
3801,10040,"Washington Heights, Inwood & Marble Hill",Manhattan
3802,10027,"Hamilton Heights, Manhattanville & West Harlem",Manhattan
